[I 170911 15:13:17 writedosshell:179] 
    
    This is the standard passed in EDIFACT_D08B
    
    
[I 170911 15:13:17 writedosshell:185] c://SVN//iway8//svn//iway8schemas//trunk//ebix//edifact//EDIFACT_D08B
[I 170911 15:13:17 writedosshell:67] 1 FACT_APERAK_D08B.dic
[I 170911 15:13:17 writedosshell:67] 2 FACT_AUTHOR_D08B.dic
[I 170911 15:13:17 writedosshell:67] 3 FACT_BALANC_D08B.dic
[I 170911 15:13:17 writedosshell:67] 4 FACT_BANSTA_D08B.dic
[I 170911 15:13:17 writedosshell:67] 5 FACT_BAPLIE_D08B.dic
[I 170911 15:13:17 writedosshell:67] 6 FACT_BERMAN_D08B.dic
[I 170911 15:13:17 writedosshell:67] 7 FACT_BMISRM_D08B.dic
[I 170911 15:13:17 writedosshell:67] 8 FACT_BOPBNK_D08B.dic
[I 170911 15:13:17 writedosshell:67] 9 FACT_BOPCUS_D08B.dic
[I 170911 15:13:17 writedosshell:67] 10 FACT_BOPDIR_D08B.dic
[I 170911 15:13:17 writedosshell:67] 11 FACT_BOPINF_D08B.dic
[I 170911 15:13:17 writedosshell:67] 12 FACT_BUSCRD_D08B.dic
[I 170911 15:13:17 writedosshell:67] 13 FACT_CALINF_D08B.dic
[I 170911 15:13:17 writedosshell:67] 14 FACT_CASINT_D08B.dic
[I 170911 15:13:17 writedosshell:67] 15 FACT_CASRES_D08B.dic
[I 170911 15:13:17 writedosshell:67] 16 FACT_CHACCO_D08B.dic
[I 170911 15:13:17 writedosshell:67] 17 FACT_CLASET_D08B.dic
[I 170911 15:13:17 writedosshell:67] 18 FACT_CNTCND_D08B.dic
[I 170911 15:13:17 writedosshell:67] 19 FACT_COACSU_D08B.dic
[I 170911 15:13:17 writedosshell:67] 20 FACT_COARRI_D08B.dic
[I 170911 15:13:17 writedosshell:67] 21 FACT_CODECO_D08B.dic
[I 170911 15:13:17 writedosshell:67] 22 FACT_CODENO_D08B.dic
[I 170911 15:13:17 writedosshell:67] 23 FACT_COEDOR_D08B.dic
[I 170911 15:13:17 writedosshell:67] 24 FACT_COHAOR_D08B.dic
[I 170911 15:13:17 writedosshell:67] 25 FACT_COLREQ_D08B.dic
[I 170911 15:13:17 writedosshell:67] 26 FACT_COMDIS_D08B.dic
[I 170911 15:13:17 writedosshell:67] 27 FACT_CONAPW_D08B.dic
[I 170911 15:13:17 writedosshell:67] 28 FACT_CONDPV_D08B.dic
[I 170911 15:13:17 writedosshell:67] 29 FACT_CONDRA_D08B.dic
[I 170911 15:13:17 writedosshell:67] 30 FACT_CONDRO_D08B.dic
[I 170911 15:13:17 writedosshell:67] 31 FACT_CONEST_D08B.dic
[I 170911 15:13:17 writedosshell:67] 32 FACT_CONITT_D08B.dic
[I 170911 15:13:17 writedosshell:67] 33 FACT_CONPVA_D08B.dic
[I 170911 15:13:17 writedosshell:67] 34 FACT_CONQVA_D08B.dic
[I 170911 15:13:17 writedosshell:67] 35 FACT_CONRPW_D08B.dic
