[D 170907 15:34:58 testlog:18] hello
[I 170907 15:34:58 testlog:19] info
[W 170907 15:34:58 testlog:20] warn
[E 170907 15:34:58 testlog:21] error
[I 170907 15:34:58 testlog:25] This log message goes to the console and the logfile
[I 170907 15:34:58 testlog:169] c:\SVN\iway8\svn\iway8schemas\trunk\ebix\edifact\EDIFACT_D16A
[I 170907 15:34:58 testlog:72] 1 FACT_APERAK_D16A.dic
[I 170907 15:34:58 testlog:72] 2 FACT_AUTHOR_D16A.dic
[I 170907 15:34:58 testlog:72] 3 FACT_BALANC_D16A.dic
[I 170907 15:34:58 testlog:72] 4 FACT_BANSTA_D16A.dic
[I 170907 15:34:58 testlog:72] 5 FACT_BAPLIE_D16A.dic
[I 170907 15:34:58 testlog:72] 6 FACT_BERMAN_D16A.dic
[I 170907 15:34:58 testlog:72] 7 FACT_BMISRM_D16A.dic
[I 170907 15:34:58 testlog:72] 8 FACT_BOPBNK_D16A.dic
[I 170907 15:34:58 testlog:72] 9 FACT_BOPCUS_D16A.dic
[I 170907 15:34:58 testlog:72] 10 FACT_BOPDIR_D16A.dic
[I 170907 15:34:58 testlog:72] 11 FACT_BOPINF_D16A.dic
[I 170907 15:34:58 testlog:72] 12 FACT_BUSCRD_D16A.dic
[I 170907 15:34:58 testlog:72] 13 FACT_CALINF_D16A.dic
[I 170907 15:34:59 testlog:72] 14 FACT_CASINT_D16A.dic
[I 170907 15:34:59 testlog:72] 15 FACT_CASRES_D16A.dic
[I 170907 15:34:59 testlog:72] 16 FACT_CHACCO_D16A.dic
[I 170907 15:34:59 testlog:72] 17 FACT_CLASET_D16A.dic
[I 170907 15:34:59 testlog:72] 18 FACT_CNTCND_D16A.dic
[I 170907 15:34:59 testlog:72] 19 FACT_COACSU_D16A.dic
[I 170907 15:34:59 testlog:72] 20 FACT_COARRI_D16A.dic
[I 170907 15:34:59 testlog:72] 21 FACT_CODECO_D16A.dic
[I 170907 15:34:59 testlog:72] 22 FACT_CODENO_D16A.dic
[I 170907 15:34:59 testlog:72] 23 FACT_COEDOR_D16A.dic
[I 170907 15:34:59 testlog:72] 24 FACT_COHAOR_D16A.dic
[I 170907 15:34:59 testlog:72] 25 FACT_COLREQ_D16A.dic
[I 170907 15:34:59 testlog:72] 26 FACT_COMDIS_D16A.dic
[I 170907 15:34:59 testlog:72] 27 FACT_CONAPW_D16A.dic
[I 170907 15:34:59 testlog:72] 28 FACT_CONDPV_D16A.dic
[I 170907 15:34:59 testlog:72] 29 FACT_CONDRA_D16A.dic
